,book_table,votes,location,rest_type,dish_liked,cuisines,cost,review,rate
0,1,775,1,20,3573,1382,800,6331,4.1
1,0,787,1,20,2902,592,800,7612,4.1
2,0,918,1,16,1385,482,800,2107,3.8
3,0,88,1,62,2705,1583,300,5162,3.7
4,0,166,4,20,3382,1402,600,9698,3.8
5,0,286,4,20,3263,1152,600,3251,3.8
6,1,2556,1,22,1975,1464,600,12416,4.6
7,0,324,1,13,3821,460,700,2307,4.0
8,0,504,1,13,5091,483,550,5044,4.2
9,0,402,1,13,5092,330,500,9846,4.1
10,1,150,1,13,2857,460,600,426,4.2
11,1,164,1,13,1703,378,500,5071,4.2
12,0,424,1,13,4387,381,450,1459,4.0
13,0,918,1,16,1385,482,800,2108,3.8
14,0,90,1,13,2147,330,650,1746,3.8
15,0,133,1,13,2906,439,800,336,3.9
16,0,144,1,13,3569,531,700,2462,3.8
17,0,93,1,13,923,454,300,5189,3.9
18,0,62,1,13,474,442,400,1461,3.0
19,0,180,1,13,3799,494,500,3209,3.7
20,0,62,1,65,3571,981,600,5825,3.6
21,0,148,4,22,3507,1190,550,12788,3.8
22,0,219,4,13,3798,453,600,5789,4.0
23,0,506,1,62,590,1328,500,394,2.8
24,0,172,1,29,3365,1461,750,9037,3.9
25,0,415,1,62,4232,1186,500,3876,4.2
26,0,230,1,29,4008,233,650,64,3.9
27,0,1647,1,20,3216,607,600,8334,4.2
28,0,4884,30,20,1227,1398,750,3377,4.4
29,0,133,4,62,1780,1632,200,8778,3.8
30,0,286,1,62,556,320,500,8819,3.9
31,0,540,1,62,3305,1470,800,2358,3.9
32,1,2556,1,22,1975,1464,600,12417,4.6
33,0,36,1,29,3978,1310,400,2014,3.8
34,0,244,46,62,257,1192,300,4553,3.6
35,0,804,46,20,756,1214,450,2530,4.0
36,0,679,63,20,2896,602,850,3728,3.7
37,0,245,46,62,3490,1253,300,4694,3.1
38,0,345,1,30,2310,952,400,2086,4.3
39,0,618,30,20,3968,286,750,10522,4.0
40,0,1047,1,62,3583,976,450,10864,4.0
41,0,627,1,29,4349,920,450,13810,3.9
42,1,354,1,20,4688,149,800,8033,4.2
43,0,244,1,20,3590,996,800,6265,4.2
44,1,163,46,20,4518,912,800,6290,3.6
45,1,808,1,20,4336,1192,850,7235,4.0
46,0,1720,4,62,2235,1351,400,6857,4.1
47,0,868,1,57,230,702,1200,12188,4.1
48,0,520,1,62,5011,246,300,12982,4.1
49,0,299,1,62,4189,866,300,2272,3.6
50,0,558,4,62,246,1543,150,8453,4.1
51,0,39,1,62,2705,1559,350,1287,3.8
52,0,146,1,9,250,213,400,9666,4.2
53,0,4401,30,20,1032,284,600,1720,4.4
54,0,283,1,20,288,1152,600,3671,2.6
55,0,62,1,4,1260,1585,800,13916,3.3
56,0,65,1,62,3378,871,300,5403,3.7
57,0,71,4,30,2294,955,400,5632,3.8
58,0,52,1,62,4236,1543,300,8145,3.5
59,0,130,1,62,1705,1543,200,2110,3.7
60,0,45,1,72,1757,173,400,13206,3.8
61,0,201,1,62,2760,1593,300,11112,4.1
62,0,771,1,20,3419,1585,450,4367,4.0
63,0,98,1,4,3363,1192,800,3636,3.0
64,1,175,30,20,2004,1587,500,2260,4.1
65,0,540,4,20,4218,1349,650,1810,3.8
66,0,124,46,62,4204,582,400,2537,3.8
67,0,340,1,72,3478,1388,500,9003,4.1
68,0,505,1,62,538,320,450,8281,3.8
69,0,438,30,30,4179,789,500,6062,4.1
70,0,264,54,20,2440,1208,750,1600,3.7
71,0,97,30,62,1016,1382,350,3957,3.7
72,0,195,30,20,4118,595,800,5279,3.6
73,0,228,30,13,3830,357,400,10728,4.6
74,1,364,30,20,3195,1661,1200,5918,4.1
75,0,107,4,9,2522,219,150,9449,3.7
76,0,167,46,62,1603,1590,300,2753,3.2
77,0,64,4,62,3836,1506,500,6938,4.2
78,0,290,1,62,1095,1211,450,2420,3.0
79,0,233,4,62,878,1624,200,1657,4.1
80,0,115,46,62,3758,861,250,7600,3.8
81,1,291,30,13,620,366,650,3412,3.9
82,0,155,30,9,4479,226,300,12883,4.5
83,0,305,46,20,3869,961,700,5254,4.1
84,0,38,1,30,2109,945,150,2456,3.9
85,0,441,1,62,257,1588,400,10477,3.9
86,0,630,30,62,3520,1450,200,5534,4.3
87,0,160,46,62,5119,83,300,8990,3.9
88,0,287,1,62,3406,1152,350,9557,4.2
89,0,402,1,13,5092,330,500,9846,4.1
90,0,469,4,20,2776,1204,750,8598,3.8
91,0,511,46,20,4592,164,550,13916,3.3
92,0,264,1,62,2423,1543,200,9046,3.9
93,0,62,1,13,474,442,400,1461,3.0
94,0,693,1,20,4674,1470,750,12043,3.8
95,0,242,30,20,3132,1085,650,8563,3.8
96,0,163,4,62,5117,682,500,10819,4.1
97,0,191,4,62,2757,1632,250,6027,4.2
98,0,32,1,62,2094,1482,150,13381,3.5
99,0,247,1,20,3430,1152,500,10660,2.5
100,1,2339,30,20,4980,1202,1500,7552,4.1
101,0,337,30,62,3221,545,300,1799,4.1
102,0,135,1,20,4647,1218,800,6065,3.9
103,0,172,79,20,257,1192,700,7050,3.6
104,0,105,1,20,3734,1674,700,3133,3.6
105,0,504,1,13,5091,483,550,5044,4.2
106,1,1129,30,20,3864,1005,1300,8943,4.3
107,0,860,1,30,3103,787,500,7631,4.3
108,0,412,30,20,2612,76,700,8256,3.8
109,1,142,30,20,2955,1089,1000,9376,3.9
110,0,143,30,20,3998,1550,750,1292,3.6
111,0,181,30,9,3621,229,250,6022,4.4
112,0,70,30,62,4699,1447,200,6416,3.8
113,0,164,4,62,3906,1472,600,10604,3.8
114,0,58,46,62,562,364,650,13285,3.6
115,0,148,4,22,3507,1190,550,12788,3.8
116,0,206,4,62,1005,1581,450,10232,3.9
117,0,217,4,20,835,1277,450,9336,3.7
118,0,148,4,62,4419,871,150,7467,3.8
119,0,177,30,20,3967,1207,700,12348,2.9
120,0,136,1,62,5030,1503,600,7295,3.7
121,0,185,30,62,1961,1018,200,13382,4.1
122,0,155,54,20,3686,1593,400,9030,3.8
123,0,42,1,62,4249,1585,300,13101,3.8
124,0,286,4,20,3263,1152,600,3251,3.8
125,0,160,1,20,2775,1192,700,5193,3.8
126,0,59,1,20,4665,1192,750,5752,3.8
127,0,89,30,62,2021,1547,200,5188,4.0
128,0,40,4,20,2705,1276,600,8946,3.9
129,0,35,4,62,104,815,200,13916,2.5
130,0,62,1,65,3571,981,600,5825,3.6
131,0,139,30,20,4241,1273,550,7222,4.1
132,0,237,1,62,962,1567,200,3879,3.7
133,0,388,1,20,1012,297,650,6060,3.9
134,0,128,46,20,2716,1564,500,6009,3.9
135,1,1875,30,20,1513,1155,1200,11971,4.1
136,0,90,1,13,2147,330,650,1746,3.8
137,0,179,1,29,5033,1461,600,11036,4.2
138,0,275,4,62,2471,1543,100,11089,4.3
139,0,323,30,20,3243,607,850,261,3.7
140,0,322,30,20,5001,1543,400,10839,4.3
141,0,157,30,13,1694,344,450,2763,2.6
142,0,543,4,62,2421,1567,300,5428,3.9
143,0,180,1,13,3799,494,500,3209,3.7
144,0,444,4,62,4703,1543,100,2132,4.2
145,0,134,30,62,3449,1643,400,3385,3.9
146,0,577,30,20,5023,1417,900,550,3.8
147,0,144,30,20,2653,1264,550,3029,3.9
148,0,787,1,20,2902,592,800,7613,4.1
149,0,84,1,62,1644,1585,250,3322,3.6
150,1,349,1,20,4548,1515,1200,5186,4.0
151,0,248,46,62,4757,1323,400,13400,3.7
152,0,216,4,13,3587,389,500,4825,4.1
