,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
0,1,1,4.1,775,1,20,3573,1382,800,6331,5004,0,1
1,1,0,4.1,787,1,20,2902,592,800,7612,5004,0,1
2,1,0,3.8,918,1,16,1385,482,800,2107,5004,0,1
3,0,0,3.7,88,1,62,2705,1583,300,5162,5004,0,1
4,0,0,3.8,166,4,20,3382,1402,600,9698,5004,0,1
5,1,0,3.8,286,4,20,3263,1152,600,3251,5004,0,1
6,1,1,4.6,2556,1,22,1975,1464,600,12416,5004,1,1
7,1,0,4.0,324,1,13,3821,460,700,2307,5004,1,1
8,1,0,4.2,504,1,13,5091,483,550,5044,5004,1,1
9,1,0,4.1,402,1,13,5092,330,500,9846,5004,1,1
10,1,1,4.2,150,1,13,2857,460,600,426,5004,1,1
11,1,1,4.2,164,1,13,1703,378,500,5071,5004,1,1
12,0,0,4.0,424,1,13,4387,381,450,1459,5004,1,1
13,1,0,3.8,918,1,16,1385,482,800,2108,5004,1,1
14,1,0,3.8,90,1,13,2147,330,650,1746,5004,1,1
15,1,0,3.9,133,1,13,2906,439,800,336,5004,1,1
16,1,0,3.8,144,1,13,3569,531,700,2462,5004,1,1
17,0,0,3.9,93,1,13,923,454,300,5189,5004,1,1
18,1,0,3.0,62,1,13,474,442,400,1461,5004,1,1
19,1,0,3.7,180,1,13,3799,494,500,3209,5004,1,1
20,1,0,3.6,62,1,65,3571,981,600,5825,5004,1,1
21,0,0,3.8,148,4,22,3507,1190,550,12788,5004,1,1
22,1,0,4.0,219,4,13,3798,453,600,5789,5004,1,1
23,1,0,2.8,506,1,62,590,1328,500,394,5004,2,1
24,1,0,3.9,172,1,29,3365,1461,750,9037,5004,2,1
25,1,0,4.2,415,1,62,4232,1186,500,3876,1654,2,1
26,1,0,3.9,230,1,29,4008,233,650,64,5004,2,1
27,1,0,4.2,1647,1,20,3216,607,600,8334,5004,2,1
28,1,0,4.4,4884,30,20,1227,1398,750,3377,5004,2,1
29,1,0,3.8,133,4,62,1780,1632,200,8778,5004,2,1
30,1,0,3.9,286,1,62,556,320,500,8819,5004,2,1
31,1,0,3.9,540,1,62,3305,1470,800,2358,5004,2,1
32,1,1,4.6,2556,1,22,1975,1464,600,12417,5004,2,1
33,0,0,3.8,36,1,29,3978,1310,400,2014,5004,2,1
34,1,0,3.6,244,46,62,257,1192,300,4553,157,2,1
35,1,0,4.0,804,46,20,756,1214,450,2530,4667,2,1
36,1,0,3.7,679,63,20,2896,602,850,3728,5004,2,1
37,1,0,3.1,245,46,62,3490,1253,300,4694,4641,2,1
38,0,0,4.3,345,1,30,2310,952,400,2086,5004,2,1
39,1,0,4.0,618,30,20,3968,286,750,10522,5004,2,1
40,0,0,4.0,1047,1,62,3583,976,450,10864,5004,2,1
41,1,0,3.9,627,1,29,4349,920,450,13810,11,2,1
42,1,1,4.2,354,1,20,4688,149,800,8033,5004,2,1
